p,o,f,g,sp,plant,week,sample,rh,prcp,tempavg,tempmax,smobs,seqct
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#6,3,#6.3,79,3.68,72.5,86,1,6
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia changbaiensis,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia zsoltii,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungaria,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia catarinonii,#6,3,#6.3,79,3.68,72.5,86,1,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia takashimae,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#5,3,#5.3,79,3.68,72.5,86,1,79
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#5,3,#5.3,79,3.68,72.5,86,1,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#5,3,#5.3,79,3.68,72.5,86,1,14
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp. ,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia changbaiensis,#5,3,#5.3,79,3.68,72.5,86,1,2
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia zsoltii,#5,3,#5.3,79,3.68,72.5,86,1,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungaria,#5,3,#5.3,79,3.68,72.5,86,1,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia catarinonii,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia takashimae,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia sp. ,#5,3,#5.3,79,3.68,72.5,86,1,29
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora maculans,#6,3,#6.3,79,3.68,72.5,86,1,2
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora prunorum,#6,3,#6.3,79,3.68,72.5,86,1,7
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora maculans,#5,3,#5.3,79,3.68,72.5,86,1,11
Ascomycota,Dothideales,Dothioraceae,Dothiora,Dothiora prunorum,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothoriella gregaria,#6,3,#6.3,79,3.68,72.5,86,1,72
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#5,3,#5.3,79,3.68,72.5,86,1,30
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella gregaria,#5,3,#5.3,79,3.68,72.5,86,1,7
Ascomycota,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothoriella gregaria,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#6,3,#6.3,79,3.68,72.5,86,1,17
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#6,3,#6.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#5,3,#5.3,79,3.68,72.5,86,1,8
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#5,3,#5.3,79,3.68,72.5,86,1,11
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,#5,3,#5.3,79,3.68,72.5,86,1,28
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium sp.,#6,3,#6.3,79,3.68,72.5,86,1,2
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium yunnanense,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium yunnanense,#5,3,#5.3,79,3.68,72.5,86,1,29
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasium wieringae,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium sp.,#5,3,#5.3,79,3.68,72.5,86,1,3
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#5,3,#5.3,79,3.68,72.5,86,1,82
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#5,3,#5.3,79,3.68,72.5,86,1,2
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,#5,3,#5.3,79,3.68,72.5,86,1,1
Basidiomycota,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasium wieringae,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Fonsecazyma,Fonsecazyma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Fonsecazyma,Fonsecazyma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.,#5,3,#5.3,79,3.68,72.5,86,1,3
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria sp.,#5,3,#5.3,79,3.68,72.5,86,1,5
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,195
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,5
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,4
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,22
Basidiomycota,Tremellales,Bulleraceae,Genolevuria,Genolevuria amylolytica,#5,3,#5.3,79,3.68,72.5,86,1,17
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sp.,#6,3,#6.3,79,3.68,72.5,86,1,8
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sinensis,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella zeae,#6,3,#6.3,79,3.68,72.5,86,1,1
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola,#6,3,#6.3,79,3.68,72.5,86,1,5
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola,#6,3,#6.3,79,3.68,72.5,86,1,3
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella sinensis,#5,3,#5.3,79,3.68,72.5,86,1,7
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella zeae,#5,3,#5.3,79,3.68,72.5,86,1,50
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola,#5,3,#5.3,79,3.68,72.5,86,1,43
Basidiomycota,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella luteola,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Dothideales,Dothioraceae,Hormonema,Hormonema prunorum,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Dothideales,Dothioraceae,Hormonema,Hormonema prunorum,#5,3,#5.3,79,3.68,72.5,86,1,9
Basidiomycota,Agaricostilbales,Kondoaceae,Kondoa,Kondoa thailandica,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Agaricostilbales,Kondoaceae,Kondoa,Kondoa yuccicola,#6,3,#6.3,79,3.68,72.5,86,1,0
Basidiomycota,Agaricostilbales,Kondoaceae,Kondoa,Kondoa thailandica,#5,3,#5.3,79,3.68,72.5,86,1,0
Basidiomycota,Agaricostilbales,Kondoaceae,Kondoa,Kondoa yuccicola,#5,3,#5.3,79,3.68,72.5,86,1,5
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#6,3,#6.3,79,3.68,72.5,86,1,10
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,28
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,2
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,3
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,10
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,8
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,12
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,3
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,4
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,8
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina sp.,#5,3,#5.3,79,3.68,72.5,86,1,5
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#5,3,#5.3,79,3.68,72.5,86,1,193
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#5,3,#5.3,79,3.68,72.5,86,1,2
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina chartarum,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,15
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,3582
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,16
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,8
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,4
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,26
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,28
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,7
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,3
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,97
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,5
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,8
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,2
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,50
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,4
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,12
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,12
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,2
Ascomycota,Pleosporales,Didymellaceae,Leptosphaerulina,Leptosphaerulina australis,#5,3,#5.3,79,3.68,72.5,86,1,2
Ascomycota,Dothideales,incertae sedis,Leptospora,Leptospora rubella,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Dothideales,incertae sedis,Leptospora,Leptospora rubella,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,236
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma corticola,#6,3,#6.3,79,3.68,72.5,86,1,3
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomum,#6,3,#6.3,79,3.68,72.5,86,1,16498
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomoides,#6,3,#6.3,79,3.68,72.5,86,1,1528
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomum,#6,3,#6.3,79,3.68,72.5,86,1,542
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma corticola,#5,3,#5.3,79,3.68,72.5,86,1,12
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomum,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomoides,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma macrostomum,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,5
Ascomycota,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella valgourgensis,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella valgourgensis,#5,3,#5.3,79,3.68,72.5,86,1,2
Ascomycota,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta sp. ,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Cucurbitaceae,Neocucurbitaria,Neocucurbitaria sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Cucurbitaceae,Neocucurbitaria,Neocucurbitaria sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Mycosphaerellales,Neodevriesiaceae,Neodevriesia,Neodevriesia lagerstroemiae,#6,3,#6.3,79,3.68,72.5,86,1,4
Ascomycota,Mycosphaerellales,Neodevriesiaceae,Neodevriesia,Neodevriesia lagerstroemiae,#5,3,#5.3,79,3.68,72.5,86,1,4
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma italica,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma italica,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma italica,#6,3,#6.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma italica,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp. ,#6,3,#6.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp. ,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp. ,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,1
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp.,#5,3,#5.3,79,3.68,72.5,86,1,0
Ascomycota,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma sp,#5,3,#5.3,79,3.68,72.5,86,1,1
